iter	Passed	Remaining
164	329	1666
165	331	1663
166	333	1665
167	335	1661
168	336	1656
169	340	1660
170	341	1657
171	343	1653
172	344	1649
173	346	1645
174	348	1644
175	350	1642
176	352	1638
177	354	1634
178	355	1631
179	358	1632
180	360	1629
181	362	1627
182	363	1623
183	369	1638
184	371	1635
185	372	1631
186	375	1631
187	381	1647
188	383	1644
189	385	1643
190	387	1643
191	389	1639
192	391	1637
193	394	1638
194	395	1634
195	398	1632
196	403	1644
197	406	1645
198	408	1643
199	412	1648
200	413	1645
201	416	1644
202	418	1641
203	420	1641
204	422	1637
205	423	1633
206	425	1631
207	427	1629
208	429	1625
209	431	1621
210	432	1617
211	434	1616
212	436	1613
213	438	1610
214	440	1606
215	441	1602
216	443	1599
217	445	1597
218	447	1594
219	448	1591
220	450	1587
221	451	1583
222	454	1581
223	456	1580
224	457	1577
225	459	1573
226	461	1570
227	462	1566
228	464	1564
229	466	1562
230	468	1559
231	470	1556
232	471	1552
233	474	1551
234	476	1549
235	477	1546
236	479	1544
237	481	1540
238	482	1536
239	485	1537
240	486	1533
241	488	1530
242	490	1527
243	492	1526
244	494	1523
245	496	1520
246	497	1516
247	498	1512
248	501	1511
249	503	1509
250	504	1506
251	506	1503
252	508	1499
253	509	1496
254	512	1496
255	513	1492
256	515	1490
257	516	1486
258	518	1483
259	521	1482
260	522	1479
261	525	1480
262	527	1478
263	530	1478
264	531	1475
265	534	1474
266	535	1471
267	537	1468
268	540	1467
269	541	1465
270	543	1463
271	545	1460
272	547	1457
273	549	1454
274	551	1453
275	553	1450
276	554	1447
277	557	1446
278	558	1444
279	560	1441
280	562	1438
281	563	1435
282	565	1432
283	568	1433
284	570	1432
285	572	1429
286	574	1426
287	576	1425
288	578	1423
289	580	1422
290	582	1419
291	584	1416
292	586	1415
293	589	1415
294	590	1412
295	592	1409
296	596	1413
297	598	1410
298	600	1407
299	601	1404
300	603	1401
301	605	1399
302	607	1396
303	608	1393
304	610	1390
305	611	1387
306	613	1384
307	616	1384
308	617	1381
309	619	1378
310	621	1375
311	622	1372
312	623	1369
313	626	1369
314	628	1365
315	629	1363
316	631	1360
317	633	1358
318	636	1358
319	638	1356
320	639	1353
321	641	1350
322	644	1350
323	646	1348
324	647	1345
325	649	1342
326	651	1339
327	653	1338
328	654	1335
329	657	1334
330	658	1331
331	660	1328
332	663	1328
333	664	1325
334	667	1325
335	669	1322
336	670	1319
337	672	1318
338	674	1315
339	676	1313
340	678	1310
341	679	1307
342	681	1306
343	683	1303
344	685	1300
345	686	1298
346	688	1295
347	689	1292
348	692	1291
349	693	1288
350	695	1285
351	697	1284
352	699	1281
353	701	1280
354	703	1277
355	704	1274
356	706	1271
357	707	1269
358	709	1267
359	711	1265
360	713	1262
361	715	1260
362	716	1257
363	718	1254
364	720	1253
365	722	1251
366	725	1250
367	727	1248
368	729	1248
369	731	1245
370	733	1243
371	734	1240
372	736	1238
373	739	1238
374	741	1235
375	743	1233
376	744	1230
377	746	1228
378	750	1229
379	752	1227
380	754	1225
381	756	1223
382	757	1220
383	760	1220
384	762	1217
385	764	1216
386	766	1214
387	768	1211
388	770	1210
389	772	1208
390	774	1206
391	776	1204
392	777	1201
393	780	1199
394	782	1198
395	784	1196
396	786	1194
397	787	1191
398	790	1190
399	792	1188
400	794	1186
401	795	1183
402	797	1181
403	799	1179
404	801	1177
405	803	1174
406	804	1172
407	806	1169
408	809	1170
409	812	1168
410	814	1166
411	815	1164
412	817	1161
413	819	1160
414	821	1157
415	823	1155
416	824	1153
417	826	1150
418	828	1148
419	830	1146
420	831	1143
421	833	1141
422	835	1139
423	837	1137
424	839	1135
425	840	1132
426	842	1130
427	844	1127
428	845	1125
429	849	1125
430	851	1123
431	853	1121
432	854	1119
433	856	1116
434	859	1116
435	861	1113
436	862	1111
437	864	1109
438	866	1107
439	869	1106
440	871	1104
441	873	1102
442	875	1100
443	876	1097
444	878	1095
445	881	1095
446	883	1093
447	886	1092
448	889	1091
449	891	1089
450	892	1086
451	895	1085
452	897	1083
453	899	1082
454	901	1080
